objectid,golf_course,island,acres,createdby,agency,publishdate,featureuid,createdate,modifieddate,modifiedby,deliverydate,sourceid,severity,comments,st_areashape,st_lengthshape
1,Turtle Bay Golf Course,Oahu,682.049, , ,1899-12-30T00:00:00.000Z,{1EBBC946-CA5B-43D7-8987-6BC8495F66F7},,,,2016-09-13T00:00:00.000Z,,,,2760125.58867585,0
2,Hawaii Golf Course,Oahu,184.395, , ,1899-12-30T00:00:00.000Z,{C2282C59-4AE8-40BD-A41C-705D4DA5C46B},,,,2016-09-13T00:00:00.000Z,,,,746198.879519686,0
3,West Loch Golf Course,Oahu,194.958, , ,1899-12-30T00:00:00.000Z,{D516DC4A-1635-4918-AD63-53165E947513},,,,2016-09-13T00:00:00.000Z,,,,788964.37471999,0
4,Coral Creek Golf Course,Oahu,190.49, , ,1899-12-30T00:00:00.000Z,{17FA3EC9-0446-4B6F-B7B2-FD70D3BFDE83},,,,2016-09-13T00:00:00.000Z,,,,770883.209100153,0
5,Kahuku Golf Course,Oahu,127.32, , ,1899-12-30T00:00:00.000Z,{D2D4F0EF-F818-4208-8785-B0CF24D6D18B},,,,2016-09-13T00:00:00.000Z,,,,515239.410729309,0
6,Waikele Country Club,Oahu,135.436, , ,1899-12-30T00:00:00.000Z,{5EE199C2-2A22-4807-A229-51FAA8CEB58B},,,,2016-09-13T00:00:00.000Z,,,,548086.541711005,0
22,Hawaii Country Club,Oahu,136.042, , ,1899-12-30T00:00:00.000Z,{5037979C-9839-4243-B7B3-B3B0EEDB0C7B},,,,2016-09-13T00:00:00.000Z,,,,550540.837000852,0
7,Makaha Valley Country Club,Oahu,157.751, , ,1899-12-30T00:00:00.000Z,{ADEF243F-D205-49E7-9384-ED549E3783B2},,,,2016-09-13T00:00:00.000Z,,,,638396.197168365,0
23,Oahu Country Club,Oahu,127.793, , ,1899-12-30T00:00:00.000Z,{6765CD7E-94B0-48E1-B32E-CCCC6EAC02A7},,,,2016-09-13T00:00:00.000Z,,,,517156.900493352,0
8,Ala Wai Golf Course,Oahu,145.678, , ,1899-12-30T00:00:00.000Z,{7422CF07-63A1-46EE-B5E7-4AFE3879B650},,,,2016-09-13T00:00:00.000Z,,,,589535.440339028,0
9,Ewa Beach Golf Club,Oahu,126.747, , ,1899-12-30T00:00:00.000Z,{F36F000B-B60A-4EED-9925-C20D304B4856},,,,2016-09-13T00:00:00.000Z,,,,512924.124527474,0
10,Ko Olina Golf Club,Oahu,168.247, , ,1899-12-30T00:00:00.000Z,{10FACF57-7F7B-4DA7-9DEA-0D9DAA7D1BCA},,,,2016-09-13T00:00:00.000Z,,,,680868.378769973,0
24,Walter J. Nagorski Golf Course,Oahu,67.0693, , ,1899-12-30T00:00:00.000Z,{6EE02E2C-555A-47B3-A382-1894B9A8E996},,,,2016-09-13T00:00:00.000Z,,,,271418.025729864,0
11,Barbers Point Golf Course,Oahu,275.345, , ,1899-12-30T00:00:00.000Z,{86F6E6E3-2123-4DE2-BD15-9143EE9EB469},,,,2016-09-13T00:00:00.000Z,,,,1114278.30329287,0
15,Royal Kunia Golf Course,Oahu,162.791, , ,1899-12-30T00:00:00.000Z,{88BD3AAA-D5B5-44B7-A375-AF6D3376F7D1},,,,2016-09-13T00:00:00.000Z,,,,658790.085588484,0
16,Honolulu Country Club,Oahu,176.433, , ,1899-12-30T00:00:00.000Z,{410FCCDD-E8FA-4384-AA4F-E19F476F0E34},,,,2016-09-13T00:00:00.000Z,,,,713995.988428022,0
17,Mililani Golf Club,Oahu,165.313, , ,1899-12-30T00:00:00.000Z,{D7236BDC-5C80-4F09-BA8B-941AD58B0293},,,,2016-09-13T00:00:00.000Z,,,,668995.384394392,0
18,Ewa Villages Golf Course,Oahu,210.868, , ,1899-12-30T00:00:00.000Z,{64250D9E-8EF0-4D22-889F-015A1A7B885A},,,,2016-09-13T00:00:00.000Z,,,,853348.805774522,0
12,Makaha Golf Course,Oahu,253.917, , ,1899-12-30T00:00:00.000Z,{CD3604D5-FE73-42D0-BC97-643DC448CFA8},,,,2016-09-13T00:00:00.000Z,,,,1027563.62945921,0
13,Hawaii Prince Golf Club,Oahu,270.086, , ,1899-12-30T00:00:00.000Z,{0A0B1591-1D9A-480E-9317-88E9AF9F0ECB},,,,2016-09-13T00:00:00.000Z,,,,1092994.20271926,0
14,Mid-Pacific Country Club,Oahu,169.724, , ,1899-12-30T00:00:00.000Z,{16308647-2B29-4983-A352-3C5FF1695AD1},,,,2016-09-13T00:00:00.000Z,,,,686829.797191175,0
19,Kapolei Golf Course,Oahu,208.182, , ,1899-12-30T00:00:00.000Z,{D9650C29-C8D5-4A36-BCBD-DF699B166B04},,,,2016-09-13T00:00:00.000Z,,,,842477.569533202,0
20,Olomana Golf Course,Oahu,130.133, , ,1899-12-30T00:00:00.000Z,{69D6F201-DE69-4191-9397-A9B9698CB92B},,,,2016-09-13T00:00:00.000Z,,,,526612.727302108,0
21,Pearl Country Club,Oahu,198.985, , ,1899-12-30T00:00:00.000Z,{F4B8DE00-763C-4A78-A1E4-875D07195B5A},,,,2016-09-13T00:00:00.000Z,,,,805257.419043962,0
25,Mamala Bay Golf Course,Oahu,176.733, , ,1899-12-30T00:00:00.000Z,{0F29062E-F37A-425B-A8AD-49E504FD5AA3},,,,2016-09-13T00:00:00.000Z,,,,715210.798356405,0
26,Hickam Par 3 Golf Course,Oahu,30.7188, , ,1899-12-30T00:00:00.000Z,{A0D38B54-5A8C-4749-B4A3-A52376D5BC7C},,,,2016-09-13T00:00:00.000Z,,,,124313.688737603,0
27,Kaneohe Klipper Golf Course,Oahu,174.356, , ,1899-12-30T00:00:00.000Z,{9AFB44A0-DA24-4532-9E31-01B2F841076B},,,,2016-09-13T00:00:00.000Z,,,,705580.607073831,0
28,Leilehua Golf Course,Oahu,200.628, , ,1899-12-30T00:00:00.000Z,{813680E5-D22E-4A36-B59B-F2D562A7A0D6},,,,2016-09-13T00:00:00.000Z,,,,811908.285502056,0
29,Pali Golf Course,Oahu,215.81, , ,1899-12-30T00:00:00.000Z,{C93233B6-7584-42E3-8E9F-8A1DA4FC46CE},,,,2016-09-13T00:00:00.000Z,,,,873345.93831479,0
30,Koolau Golf Club,Oahu,245.831, , ,1899-12-30T00:00:00.000Z,{4E733091-3409-4381-A02C-AD0855A14397},,,,2016-09-13T00:00:00.000Z,,,,994836.473863935,0
31,Bay View Golf Course,Oahu,108.153, , ,1899-12-30T00:00:00.000Z,{366B52C1-7FB5-4D05-BE80-5B87FAD88195},,,,2016-09-13T00:00:00.000Z,,,,437678.106566961,0
32,Waialae Country Club,Oahu,145.521, , ,1899-12-30T00:00:00.000Z,{673CA0AF-49AA-4A82-8E33-F25DFF535048},,,,2016-09-13T00:00:00.000Z,,,,588898.585251345,0
33,Hoakalei Country Club,Oahu,235.85, , ,1899-12-30T00:00:00.000Z,{A808A652-C8E2-4751-9C43-A30DB28A4DBB},,,,2016-09-13T00:00:00.000Z,,,,954445.31766644,0
34,Luana Hills Country Club,Oahu,302.198, , ,1899-12-30T00:00:00.000Z,{33488E3E-BB82-41FA-860C-0CFE205827A9},,,,2016-09-13T00:00:00.000Z,,,,1222942.45050194,0
35,Navy-Marine Golf Course,Oahu,153.741, , ,1899-12-30T00:00:00.000Z,{EAEF045E-00C1-458C-8D4F-BAF73FA5B442},,,,2016-09-13T00:00:00.000Z,,,,622164.346252988,0
36,Ted Makalena Golf Course,Oahu,150.72, , ,1899-12-30T00:00:00.000Z,{2249FAFB-36CE-4CF3-AA85-F8427997A234},,,,2016-09-13T00:00:00.000Z,,,,609938.55692179,0
37,Sea Mountain Golf Course,Hawaii,234.361, , ,1899-12-30T00:00:00.000Z,{73A6B96E-1A67-45E6-9C80-1D27CB8FE364},,,,2016-09-13T00:00:00.000Z,,,,948426.020606508,0
38,Volcano Golf and Country Club,Hawaii,158.297, , ,1899-12-30T00:00:00.000Z,{15142F50-4BA3-41DA-88F2-C736AE1C8F93},,,,2016-09-13T00:00:00.000Z,,,,640593.921870675,0
39,Hamakua Country Club,Hawaii,19.3859, , ,1899-12-30T00:00:00.000Z,{A529FD6B-9FA4-4BB7-83C5-BDD1C07851EF},,,,2016-09-13T00:00:00.000Z,,,,78450.2773484698,0
40,Big Island Country Club,Hawaii,175.131, , ,1899-12-30T00:00:00.000Z,{99D8E8F4-320D-4C99-B39A-ACF04C990D33},,,,2016-09-13T00:00:00.000Z,,,,708740.082620374,0
41,Hualalai Golf Club,Hawaii,416.015, , ,1899-12-30T00:00:00.000Z,{3631FFE0-4C69-46CC-B148-90AC17B6A76F},,,,2016-09-13T00:00:00.000Z,,,,1683577.41313236,0
42,Kukio Golf Course,Hawaii,380.125, , ,1899-12-30T00:00:00.000Z,{E1B5ED38-77B5-476C-82FD-DDBA08FA5643},,,,2016-09-13T00:00:00.000Z,,,,1538333.72578441,0
43,Makalei Golf Club,Hawaii,418.488, , ,1899-12-30T00:00:00.000Z,{B39BA4C2-D952-452D-BFBC-614C0D173DF4},,,,2016-09-13T00:00:00.000Z,,,,1693568.17799834,0
44,Mauna Lani Golf Course,Hawaii,498.982, , ,1899-12-30T00:00:00.000Z,{F9E49FDD-A192-4D16-BDF1-8A33B9436A91},,,,2016-09-13T00:00:00.000Z,,,,2019342.24157952,0
45,Waikoloa Beach Course,Hawaii,173.971, , ,1899-12-30T00:00:00.000Z,{851814AD-BAB2-428A-9D11-0FA867079E20},,,,2016-09-13T00:00:00.000Z,,,,704048.510079984,0
46,Waikoloa Kings' Course,Hawaii,174.208, , ,1899-12-30T00:00:00.000Z,{E321B6DF-71D5-46F2-A359-FBF8F210F5FD},,,,2016-09-13T00:00:00.000Z,,,,705005.761627664,0
47,Mauna Kea Golf Course,Hawaii,189.974, , ,1899-12-30T00:00:00.000Z,{EA549C4E-EE64-4903-878E-F3F25FD59C9B},,,,2016-09-13T00:00:00.000Z,,,,768818.171254316,0
48,Hapuna Golf Course,Hawaii,240.411, , ,1899-12-30T00:00:00.000Z,{22C6D87E-FC53-4D5A-ADC2-D910183DC2A8},,,,2016-09-13T00:00:00.000Z,,,,972936.967938631,0
49,Waikoloa Village Golf Course,Hawaii,157.212, , ,1899-12-30T00:00:00.000Z,{E73A1CD2-3C74-4BE7-835E-D121176508BE},,,,2016-09-13T00:00:00.000Z,,,,636224.452264361,0
50,Naniloa Country Club,Hawaii,63.0623, , ,1899-12-30T00:00:00.000Z,{FF84341F-CEDC-4179-A3DF-4CFA4655B39A},,,,2016-09-13T00:00:00.000Z,,,,255203.150892169,0
51,Hilo Municipal Golf Course,Hawaii,165.29, , ,1899-12-30T00:00:00.000Z,{CFD27A57-98AA-4060-A73F-A88D25DEC9CC},,,,2016-09-13T00:00:00.000Z,,,,668901.813169518,0
52,Kiahuna Golf Club,Kauai,138.038, , ,1899-12-30T00:00:00.000Z,{2E4844EB-AF40-4E62-89F3-FD4DAF84E240},,,,2016-09-13T00:00:00.000Z,,,,558638.106170906,0
53,Kukuiula Golf Course,Kauai,460.255, , ,1899-12-30T00:00:00.000Z,{E64E4B21-2B40-4A79-AC18-B08F26A69785},,,,2016-09-13T00:00:00.000Z,,,,1862653.91382438,0
54,Poipu Bay Golf Course,Kauai,192, , ,1899-12-30T00:00:00.000Z,{8BE4F7EE-96FB-4FA8-AFFC-0C968F3DA181},,,,2016-09-13T00:00:00.000Z,,,,777023.585753522,0
55,Kukuiolono Golf Course,Kauai,149.123, , ,1899-12-30T00:00:00.000Z,{BDE2D685-5FD2-4178-94D8-D07EDCDC3739},,,,2016-09-13T00:00:00.000Z,,,,603494.109645461,0
65,The King Kamehameha Golf Club,Maui,162.337, , ,1899-12-30T00:00:00.000Z,{490B1776-230B-430A-AD1D-3CCD32D43091},,,,2016-09-13T00:00:00.000Z,,,,656977.855073399,0
56,Kauai Lagoons Golf Club,Kauai,546.071, , ,1899-12-30T00:00:00.000Z,{B61703D5-1DA1-43C8-8EA5-5909CF557F70},,,,2016-09-13T00:00:00.000Z,,,,2209953.4501382,0
57,Puakea Golf Course,Kauai,336.779, , ,1899-12-30T00:00:00.000Z,{7481B5F3-4C67-4451-BE20-F419B6BA62BB},,,,2016-09-13T00:00:00.000Z,,,,1362946.82201438,0
58,Wailua Golf Course,Kauai,241.592, , ,1899-12-30T00:00:00.000Z,{325C28E9-257E-4A94-ABB5-72BDAC96409C},,,,2016-09-13T00:00:00.000Z,,,,977730.79281165,0
59,Princeville Golf Course,Kauai,709.785, , ,1899-12-30T00:00:00.000Z,{787E807E-2FD5-4634-A60F-8664BFDE3CC6},,,,2016-09-13T00:00:00.000Z,,,,2872492.2223553,0
60,Kaanapali Golf Course,Maui,296.778, , ,1899-12-30T00:00:00.000Z,{A07B9EED-9802-414D-8F76-5419AE043DAE},,,,2016-09-13T00:00:00.000Z,,,,1201067.77379629,0
61,Kapalua Golf Course,Maui,471.891, , ,1899-12-30T00:00:00.000Z,{998CFDA7-A4FF-47F7-8B45-B25D6CC36E20},,,,2016-09-13T00:00:00.000Z,,,,1909742.07559904,0
62,Pukalani Country Club,Maui,175.835, , ,1899-12-30T00:00:00.000Z,{7F1B11AF-CBCB-4780-A7C8-E3CA7D460953},,,,2016-09-13T00:00:00.000Z,,,,711599.238004749,0
63,The Dunes at Maui Lani Golf Course,Maui,178.552, , ,1899-12-30T00:00:00.000Z,{B895573D-F1E7-4C94-A1D8-E226B528FE7E},,,,2016-09-13T00:00:00.000Z,,,,722596.72415195,0
64,Kahili Golf Course,Maui,169.024, , ,1899-12-30T00:00:00.000Z,{47D63AD7-3CDB-4225-8FE7-643B70DF9D45},,,,2016-09-13T00:00:00.000Z,,,,684042.550288292,0
66,Waiehu Golf Course,Maui,180.143, , ,1899-12-30T00:00:00.000Z,{A9BFEDD9-7631-4AC1-98B3-A8ECDB59790F},,,,2016-09-13T00:00:00.000Z,,,,729035.87309839,0
67,Elleair Maui Golf Club,Maui,179.516, , ,1899-12-30T00:00:00.000Z,{6296C0C7-7DD9-47F9-AC5A-0AEBEA93D3DD},,,,2016-09-13T00:00:00.000Z,,,,726502.328706146,0
69,Maui Country Club,Maui,64.122, , ,1899-12-30T00:00:00.000Z,{86E180E3-FD8F-4111-86EB-B9ADC0529668},,,,2016-09-13T00:00:00.000Z,,,,259499.750536517,0
68,Wailea Golf Course,Maui,541.535, , ,1899-12-30T00:00:00.000Z,{CAF8CC24-D300-4E13-BC67-DF8929F4DA4C},,,,2016-09-13T00:00:00.000Z,,,,2191594.6792191,0
70,Koele Golf Course,Lanai,338.656, , ,1899-12-30T00:00:00.000Z,{CB651D6B-9D65-490C-9C8E-F2EBA3CBDD17},,,,2016-09-13T00:00:00.000Z,,,,1370507.79804643,0
71,Manele Golf Course,Lanai,400.843, , ,1899-12-30T00:00:00.000Z,{C9A19206-A895-43D7-B57A-9199A81EC078},,,,2016-09-13T00:00:00.000Z,,,,1622198.13848152,0
72,Ironwood Golf Course,Molokai,49.7552, , ,1899-12-30T00:00:00.000Z,{A47F78A0-ACEE-4B27-9FFE-CF4C8CA0D443},,,,2016-09-13T00:00:00.000Z,,,,201349.624001376,0
73,Cavendish Golf Course,Lanai,81.7865, , ,1899-12-30T00:00:00.000Z,{2D524DAE-B103-4FB5-8027-BA8A3CB26BB2},,,,2016-09-13T00:00:00.000Z,,,,330981.697983644,0
74,Makena Golf Course,Maui,646.038, , ,1899-12-30T00:00:00.000Z,{59BFB8A9-2614-4B53-8342-4EABC6C6C514},,,,2016-09-13T00:00:00.000Z,,,,2614517.55090711,0
